package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
dev.whosnickdoglio.scores.ui.GameInfo,GameInfo,1,0,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.scores.ui.stringResource,stringResource,1,0,0,0,0,0,0,0,1,1,
dev.whosnickdoglio.scores.ui.MultipleGameList,MultipleGameList,1,1,1,0,0,0,1,0,4,2,
dev.whosnickdoglio.scores.ui.Refresh,Refresh,1,1,1,0,0,0,0,0,1,3,
dev.whosnickdoglio.scores.ui.SingleGame,SingleGame,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.scores.ui.NavigationColumn,NavigationColumn,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.scores.ui.SingleScoreCompact,SingleScoreCompact,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.scores.ui.Loading,Loading,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.scores.ui.NavigationRow,NavigationRow,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.scores.ui.EmptyChip,EmptyChip,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.scores.ui.TeamColumn,TeamColumn,1,1,1,0,0,0,0,0,1,1,
